GROUP,Species,Strain,Protein,DNA,GFF3,Short,TaxonGroup
OUT,Coccidioides posadasii,B3315,B3315.pep.fa,B3315.dna.fa,B3315.gff3,B3315,Coccidioides posadasii
OUT,Coccidioides posadasii,B3326,B3326.pep.fa,B3326.dna.fa,B3326.gff3,B3326,Coccidioides posadasii
OUT,Coccidioides posadasii,B3335,B3335.pep.fa,B3335.dna.fa,B3335.gff3,B3335,Coccidioides posadasii
OUT,Coccidioides posadasii,B3341,B3341.pep.fa,B3341.dna.fa,B3341.gff3,B3341,Coccidioides posadasii
OUT,Coccidioides posadasii,B3344,B3344.pep.fa,B3344.dna.fa,B3344.gff3,B3344,Coccidioides posadasii
OUT,Coccidioides posadasii,B3345,B3345.pep.fa,B3345.dna.fa,B3345.gff3,B3345,Coccidioides posadasii
OUT,Coccidioides posadasii,B3347,B3347.pep.fa,B3347.dna.fa,B3347.gff3,B3347,Coccidioides posadasii
OUT,Coccidioides posadasii,B3348,B3348.pep.fa,B3348.dna.fa,B3348.gff3,B3348,Coccidioides posadasii
OUT,Coccidioides posadasii,B3352,B3352.pep.fa,B3352.dna.fa,B3352.gff3,B3352,Coccidioides posadasii
OUT,Coccidioides posadasii,B3353,B3353.pep.fa,B3353.dna.fa,B3353.gff3,B3353,Coccidioides posadasii
OUT,Coccidioides posadasii,B3358,B3358.pep.fa,B3358.dna.fa,B3358.gff3,B3358,Coccidioides posadasii
OUT,Coccidioides posadasii,B3359,B3359.pep.fa,B3359.dna.fa,B3359.gff3,B3359,Coccidioides posadasii
OUT,Coccidioides posadasii,B3368,B3368.pep.fa,B3368.dna.fa,B3368.gff3,B3368,Coccidioides posadasii
OUT,Coccidioides posadasii,B3374,B3374.pep.fa,B3374.dna.fa,B3374.gff3,B3374,Coccidioides posadasii
OUT,Coccidioides posadasii,B3375,B3375.pep.fa,B3375.dna.fa,B3375.gff3,B3375,Coccidioides posadasii
OUT,Coccidioides posadasii,B3382,B3382.pep.fa,B3382.dna.fa,B3382.gff3,B3382,Coccidioides posadasii
OUT,Coccidioides posadasii,B3391,B3391.pep.fa,B3391.dna.fa,B3391.gff3,B3391,Coccidioides posadasii
OUT,Coccidioides posadasii,B3395,B3395.pep.fa,B3395.dna.fa,B3395.gff3,B3395,Coccidioides posadasii
OUT,Coccidioides posadasii,B3398,B3398.pep.fa,B3398.dna.fa,B3398.gff3,B3398,Coccidioides posadasii
OUT,Coccidioides posadasii,B3409,B3409.pep.fa,B3409.dna.fa,B3409.gff3,B3409,Coccidioides posadasii
OUT,Coccidioides posadasii,B3411,B3411.pep.fa,B3411.dna.fa,B3411.gff3,B3411,Coccidioides posadasii
OUT,Coccidioides posadasii,B3413,B3413.pep.fa,B3413.dna.fa,B3413.gff3,B3413,Coccidioides posadasii
OUT,Coccidioides posadasii,B3417,B3417.pep.fa,B3417.dna.fa,B3417.gff3,B3417,Coccidioides posadasii
OUT,Coccidioides posadasii,B3420,B3420.pep.fa,B3420.dna.fa,B3420.gff3,B3420,Coccidioides posadasii
OUT,Coccidioides posadasii,B3439,B3439.pep.fa,B3439.dna.fa,B3439.gff3,B3439,Coccidioides posadasii
OUT,Coccidioides posadasii,B3440,B3440.pep.fa,B3440.dna.fa,B3440.gff3,B3440,Coccidioides posadasii
OUT,Coccidioides posadasii,B3453,B3453.pep.fa,B3453.dna.fa,B3453.gff3,B3453,Coccidioides posadasii
OUT,Coccidioides posadasii,B3457,B3457.pep.fa,B3457.dna.fa,B3457.gff3,B3457,Coccidioides posadasii
IN,Coccidioides immitis,B3476,B3476.pep.fa,B3476.dna.fa,B3476.gff3,B3476,Coccidioides immitis
OUT,Coccidioides posadasii,B3482,B3482.pep.fa,B3482.dna.fa,B3482.gff3,B3482,Coccidioides posadasii
OUT,Coccidioides posadasii,B3489,B3489.pep.fa,B3489.dna.fa,B3489.gff3,B3489,Coccidioides posadasii
OUT,Coccidioides posadasii,B3491,B3491.pep.fa,B3491.dna.fa,B3491.gff3,B3491,Coccidioides posadasii
OUT,Coccidioides posadasii,B3492,B3492.pep.fa,B3492.dna.fa,B3492.gff3,B3492,Coccidioides posadasii
OUT,Coccidioides posadasii,B5773_Brazil,B5773_Brazil.pep.fa,B5773_Brazil.dna.fa,B5773_Brazil.gff3,B5773_Brazil,Coccidioides posadasii
OUT,Coccidioides posadasii,BFF340,BFF340.pep.fa,BFF340.dna.fa,BFF340.gff3,BFF340,Coccidioides posadasii
