ql	sl	pid	len	qlen	slen	qcov	ev	bits
F26	F13	30.2	96	151	117	0.62	1.22e-06	45.1
F26	F28	38.5	65	151	103	0.4	2.55e-06	43.9
F26	F07	38.5	65	151	129	0.4	4.01e-06	43.9
F26	F09	29.8	84	151	124	0.53	7.14e-06	43.1
F26	F20	38.5	65	151	225	0.4	9.95e-06	43.9
F06	F14	100.0	124	170	124	0.73	6.83e-84	243.0
F06	F32	98.3	118	170	154	0.69	7.65e-76	223.0
F06	F21	99.0	104	170	145	0.61	1.6299999999999998e-68	204.0
F06	F34	100.0	71	170	71	0.42	5.84e-44	140.0
F06	F16	40.0	120	170	120	0.69	2.14e-20	81.6
F30	F08	83.8	117	100	117	1.0	3.9599999999999995e-61	182.0
F30	F19	81.9	105	100	103	1.0	2.08e-51	157.0
F30	F18	100.0	61	100	62	0.61	6.74e-38	121.0
F30	F36	72.1	61	100	62	0.61	1.72e-24	87.8
F30	F10	33.9	118	100	119	0.97	2.9e-13	60.8
F30	F29	28.0	118	100	140	0.97	9.45e-08	47.0
F30	F17	29.1	103	100	108	0.82	6.37e-06	41.6
F34	F14	100.0	71	71	124	1.0	6.08e-45	140.0
F34	F21	100.0	71	71	145	1.0	1.15e-44	140.0
F34	F06	100.0	71	71	170	1.0	2.44e-44	140.0
F34	F16	52.5	59	71	120	0.83	4.01e-16	67.0
F35	F23	94.4	71	126	134	0.56	6.19e-43	137.0
F35	F03	98.5	65	126	122	0.52	1.23e-42	136.0
F35	F22	53.1	64	126	180	0.51	5.06e-19	78.2
F35	F15	51.6	64	126	146	0.51	7.37e-18	74.3
F35	F27	47.1	51	126	165	0.4	7.05e-10	53.9
F35	F05	52.6	38	126	117	0.3	1.16e-09	52.4
F14	F06	100.0	124	124	170	1.0	1e-83	242.0
F14	F21	99.0	104	124	145	0.84	2.65e-69	204.0
F14	F34	100.0	71	124	71	0.57	1.0600000000000001e-44	140.0
F14	F32	97.2	72	124	154	0.58	1.8300000000000003e-43	139.0
F14	F16	40.0	120	124	120	0.95	1.02e-20	80.9
F14	F10	34.7	95	124	119	0.72	7.26e-06	42.4
F16	F14	39.7	121	120	124	1.0	1.58e-19	77.8
F16	F21	41.9	105	120	145	0.87	3.75e-19	77.4
F16	F06	39.7	121	120	170	1.0	4.7e-19	77.8
F16	F34	51.7	60	120	71	0.5	1.92e-15	65.9
F16	F08	42.0	112	120	117	0.92	4.27e-15	66.2
F16	F10	37.5	88	120	119	0.73	8.6e-12	57.8
F16	F17	40.3	62	120	108	0.52	1.48e-10	54.3
F16	F29	40.3	62	120	140	0.52	2.8e-10	54.3
F16	F09	43.5	62	120	124	0.5	6.16e-09	50.4
F16	F19	35.7	112	120	103	0.92	3.13e-08	48.1
F16	F26	44.7	47	120	151	0.39	1.43e-06	44.7
F16	F12	44.7	47	120	178	0.39	1.91e-06	44.7
F16	F33	44.7	47	120	202	0.39	2.29e-06	44.7
F16	F31	42.6	47	120	90	0.39	2.78e-06	42.7
F18	F30	100.0	61	62	100	0.98	8.43e-38	120.0
F18	F08	98.3	60	62	117	0.97	9.38e-36	116.0
F18	F36	72.6	62	62	62	1.0	1.9e-25	88.6
F18	F19	93.9	49	62	103	0.79	2.01e-25	89.7
F18	F10	40.7	59	62	119	0.95	9.03e-09	47.8
F22	F15	80.6	180	180	146	1.0	7.36e-100	284.0
F22	F03	63.4	112	180	122	0.62	1.8699999999999998e-48	153.0
F22	F23	50.0	110	180	134	0.57	1.0400000000000001e-32	114.0
F22	F05	51.5	97	180	117	0.54	1.6900000000000003e-27	100.0
F22	F27	53.8	91	180	165	0.51	8.820000000000001e-27	99.8
F22	F35	51.4	72	180	126	0.39	3.65e-19	79.0
F22	F11	48.5	66	180	87	0.36	9.88e-11	55.8
F22	F37	57.1	35	180	53	0.19	7.11e-07	44.7
