Species,Strain,Protein,DNA,Short,Lineage
Torulaspora delbrueckii,CBS_1146,Torulaspora_delbrueckii_CBS_1146.aa.fasta,Torulaspora_delbrueckii_CBS_1146.fasta,Torudelb,Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Torulaspora
Tothia fuscella,CBS_130266,Tothia_fuscella_CBS_130266.Totfu1.v1.aa.fasta,Tothia_fuscella_CBS_130266.Totfu1.v1.fasta,Tothfusc,Fungi;Ascomycota;Dothideomycetes;Venturiales;Cylindrosympodiaceae;Tothia
Trametes versicolor,FP-101664_SS1,Trametes_versicolor_FP-101664_SS1.Trave1.v1.aa.fasta,Trametes_versicolor_FP-101664_SS1.Trave1.v1.fasta,Tramvers,Fungi;Basidiomycota;Agaricomycetes;Polyporales;Polyporaceae;Trametes
Trematosphaeria pertusa,CBS_122368,Trematosphaeria_pertusa_CBS_122368.Trepe1.v1.aa.fasta,Trematosphaeria_pertusa_CBS_122368.Trepe1.v1.fasta,Trempert,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Trematosphaeriaceae;Trematosphaeria
Tremella mesenterica,Fries,Tremella_mesenterica_Fries.Treme1.v1.aa.fasta,Tremella_mesenterica_Fries.Treme1.v1.fasta,Tremmese,Fungi;Basidiomycota;Tremellomycetes;Tremellales;Tremellaceae;Tremella
Trichodelitschia bisporula,CBS_262,Trichodelitschia_bisporula_CBS_262.69.Tribi1.v1.aa.fasta,Trichodelitschia_bisporula_CBS_262.69.Tribi1.v1.fasta,Tricbisp,Fungi;Ascomycota;Dothideomycetes;Phaeotrichales;Phaeotrichaceae;Trichodelitschia
Trichoderma atroviride,IMI_206040,Trichoderma_atroviride_IMI_206040.Triat2.v2.aa.fasta,Trichoderma_atroviride_IMI_206040.Triat2.v2.fasta,Tricatro,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma
Trichoderma virens,Gv29-8,Trichoderma_virens_Gv29-8.TriviGv29_8_2.v2.aa.fasta,Trichoderma_virens_Gv29-8.TriviGv29_8_2.v2.fasta,Tricvire,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma
Tricholoma matsutake,945,Tricholoma_matsutake_945.Trima3.v3.aa.fasta,Tricholoma_matsutake_945.Trima3.v3.fasta,Tricmats,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Tricholomataceae;Tricholoma
Trichophyton rubrum,CBS_118892,Trichophyton_rubrum_CBS_118892.aa.fasta,Trichophyton_rubrum_CBS_118892.fasta,Tricrubr,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Arthrodermataceae;Trichophyton
Trichosporon asahii,var,Trichosporon_asahii_var._asahii_CBS_8904.aa.fasta,Trichosporon_asahii_var._asahii_CBS_8904.fasta,Tricasah,Fungi;Basidiomycota;Tremellomycetes;Trichosporonales;Trichosporonaceae;Trichosporon
Trypethelium eluteriae,,Trypethelium_eluteriae.Tryvi1.v1.aa.fasta,Trypethelium_eluteriae.Tryvi1.v1.fasta,Trypelut,Fungi;Ascomycota;Dothideomycetes;Trypetheliales;Trypetheliaceae;Trypethelium
Tuber melanosporum,,Tuber_melanosporum.Tubme1.aa.fasta,Tuber_melanosporum.Tubme1.fasta,Tubemela,Fungi;Ascomycota;Pezizomycetes;Pezizales;Tuberaceae;Tuber
Tulasnella calospora,AL13-4D,Tulasnella_calospora_AL13-4D.Tulca1.v1.aa.fasta,Tulasnella_calospora_AL13-4D.Tulca1.v1.fasta,Tulacalo,Fungi;Basidiomycota;Agaricomycetes;Cantharellales;Tulasnellaceae;Tulasnella
Umbelopsis ramanniana,NRRL_5844,Umbelopsis_ramanniana_NRRL_5844.Umbra1.v1.aa.fasta,Umbelopsis_ramanniana_NRRL_5844.Umbra1.v1.fasta,Umberama,Fungi;Mucoromycota;Umbelopsidomycetes;Umbelopsidales;Umbelopsidaceae;Umbelopsis
Uncinocarpus reesii,1704,Uncinocarpus_reesii_1704.aa.fasta,Uncinocarpus_reesii_1704.fasta,Uncirees,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Onygenaceae;Uncinocarpus
Verticillium dahliae,JR2,Verticillium_dahliae_JR2.Verda1.v1.aa.fasta,Verticillium_dahliae_JR2.Verda1.v1.fasta,Vertdahl,Fungi;Ascomycota;Sordariomycetes;Glomerellales;Plectosphaerellaceae;Verticillium
Volvariella volvacea,V23,Volvariella_volvacea_V23.Volvo1.aa.fasta,Volvariella_volvacea_V23.Volvo1.fasta,Volvvolv,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Pluteaceae;Volvariella
Wallemia ichthyophaga,EXF-994,Wallemia_ichthyophaga_EXF-994.aa.fasta,Wallemia_ichthyophaga_EXF-994.fasta,Wallicht,Fungi;Basidiomycota;Wallemiomycetes;Wallemiales;Wallemiaceae;Wallemia
Wilcoxina mikolae,CBS_423,Wilcoxina_mikolae_CBS_423.85.Wilmi1.v1.aa.fasta,Wilcoxina_mikolae_CBS_423.85.Wilmi1.v1.fasta,Wilcmiko,Fungi;Ascomycota;Pezizomycetes;Pezizales;Pyronemataceae;Wilcoxina
Wolfiporia cocos,MD-104_SS10,Wolfiporia_cocos_MD-104_SS10.Wolco1.v1.aa.fasta,Wolfiporia_cocos_MD-104_SS10.Wolco1.v1.fasta,Wolfcoco,Fungi;Basidiomycota;Agaricomycetes;Polyporales;Phaeolaceae;Wolfiporia
Xanthoria parietina,46-1,Xanthoria_parietina_46-1.Xanpa2.v1.1.aa.fasta,Xanthoria_parietina_46-1.Xanpa2.v1.1.fasta,Xantpari,Fungi;Ascomycota;Lecanoromycetes;Teloschistales;Teloschistaceae;Xanthoria
Xylona heveae,TC161,Xylona_heveae_TC161.Xylhe1.v1.aa.fasta,Xylona_heveae_TC161.Xylhe1.v1.fasta,Xyloheve,Fungi;Ascomycota;Xylonomycetes;Xylonales;Xylonaceae;Xylona
Yarrowia lipolytica,CLIB122,Yarrowia_lipolytica_CLIB122.aa.fasta,Yarrowia_lipolytica_CLIB122.fasta,Yarrlipo,Fungi;Ascomycota;Dipodascomycetes;Dipodascales;Yarrowia
Zasmidium cellare,ATCC_36951,Zasmidium_cellare_ATCC_36951.Zasce1.v1.aa.fasta,Zasmidium_cellare_ATCC_36951.Zasce1.v1.fasta,Zasmcell,Fungi;Ascomycota;Dothideomycetes;Mycosphaerellales;Mycosphaerellaceae;Zasmidium
Zopfia rhizophila,CBS_207,Zopfia_rhizophila_CBS_207.26.Zoprh1.v1.aa.fasta,Zopfia_rhizophila_CBS_207.26.Zoprh1.v1.fasta,Zopfrhiz,Fungi;Ascomycota;Dothideomycetes;Zopfiaceae;Zopfia
Zygosaccharomyces rouxii,CBS_732,Zygosaccharomyces_rouxii_CBS_732.aa.fasta,Zygosaccharomyces_rouxii_CBS_732.fasta,Zygoroux,Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Zygosaccharomyces
Zymoseptoria pseudotritici,STIR04_4,Zymoseptoria_pseudotritici_STIR04_4.3.1.Zymps1.aa.fasta,Zymoseptoria_pseudotritici_STIR04_4.3.1.Zymps1.fasta,Zymopseu,Fungi;Ascomycota;Dothideomycetes;Mycosphaerellales;Mycosphaerellaceae;Zymoseptoria
