Species,Strain,Protein,DNA,Short,Lineage
Malbranchea zuffiana,CBS 219.58,Malbranchea_zuffiana_CBS_219.58.proteins.fa,Malbranchea_zuffiana_CBS_219.58.scaffolds.fa,Malbzuff,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Malbrancheaceae;Malbranchea
Microsporum audouinii,CBS 119449,Microsporum_audouinii_CBS_119449.proteins.fa,Microsporum_audouinii_CBS_119449.scaffolds.fa,Micraudo,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Arthrodermataceae;Microsporum
Microsporum audouinii,IHEM 2214,Microsporum_audouinii_IHEM_2214.proteins.fa,Microsporum_audouinii_IHEM_2214.scaffolds.fa,Micraud2,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Arthrodermataceae;Microsporum
Microsporum canis,BMU 08359,Microsporum_canis_BMU_08359.proteins.fa,Microsporum_canis_BMU_08359.scaffolds.fa,Micrcani,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Arthrodermataceae;Microsporum
Microsporum canis,CBS 218.32,Microsporum_canis_CBS_218.32.proteins.fa,Microsporum_canis_CBS_218.32.scaffolds.fa,Micrcan2,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Arthrodermataceae;Microsporum
Microsporum canis,CBS 566.80,Microsporum_canis_CBS_566.80.proteins.fa,Microsporum_canis_CBS_566.80.scaffolds.fa,Micrcan3,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Arthrodermataceae;Microsporum
Microsporum ferrugineum,CBS 497.48,Microsporum_ferrugineum_CBS_497.48.proteins.fa,Microsporum_ferrugineum_CBS_497.48.scaffolds.fa,Micrferr,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Arthrodermataceae;Microsporum
Microsporum ferrugineum,M1a,Microsporum_ferrugineum_M1a.proteins.fa,Microsporum_ferrugineum_M1a.scaffolds.fa,Micrfer2,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Arthrodermataceae;Microsporum
Monascus pilosus,K104061,Monascus_pilosus_K104061.proteins.fa,Monascus_pilosus_K104061.scaffolds.fa,Monapilo,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Monascus
Monascus pilosus,MS-1,Monascus_pilosus_MS-1.proteins.fa,Monascus_pilosus_MS-1.scaffolds.fa,Monapil2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Monascus
Monascus purpureus,KUPM5,Monascus_purpureus_KUPM5.proteins.fa,Monascus_purpureus_KUPM5.scaffolds.fa,Monapurp,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Monascus
Monascus purpureus,MP2022,Monascus_purpureus_MP2022.proteins.fa,Monascus_purpureus_MP2022.scaffolds.fa,Monapur2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Monascus
Monascus ruber,BC20,Monascus_ruber_BC20.proteins.fa,Monascus_ruber_BC20.scaffolds.fa,Monarube,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Monascus
Monascus ruber,FWB13,Monascus_ruber_FWB13.proteins.fa,Monascus_ruber_FWB13.scaffolds.fa,Monarub2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Monascus
Nannizzia gypsea,CBS 118893,Nannizzia_gypsea_CBS_118893.proteins.fa,Nannizzia_gypsea_CBS_118893.scaffolds.fa,Nanngyps,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Arthrodermataceae;Nannizzia
Nannizziopsis barbatae,USC001,Nannizziopsis_barbatae_USC001.proteins.fa,Nannizziopsis_barbatae_USC001.scaffolds.fa,Nannbarb,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Nannizziopsiaceae;Nannizziopsis
Neophaeococcomyces aloes,FJII-L3-CM-P2,Neophaeococcomyces_aloes_FJII-L3-CM-P2.proteins.fa,Neophaeococcomyces_aloes_FJII-L3-CM-P2.scaffolds.fa,Neopaloe,Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Neophaeococcomyces
Neosartorya sp. G127_14,G127-14,Neosartorya_sp._G127_14_G127-14.proteins.fa,Neosartorya_sp._G127_14_G127-14.scaffolds.fa,Neossp,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Neosartorya
Neosartorya sp. G130_14,G130-14,Neosartorya_sp._G130_14_G130-14.proteins.fa,Neosartorya_sp._G130_14_G130-14.scaffolds.fa,Neossp2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Neosartorya
Neosartorya sp. G132_14,G132-14,Neosartorya_sp._G132_14_G132-14.proteins.fa,Neosartorya_sp._G132_14_G132-14.scaffolds.fa,Neossp3,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Neosartorya
Neosartorya sp. G135_14,G135-14,Neosartorya_sp._G135_14_G135-14.proteins.fa,Neosartorya_sp._G135_14_G135-14.scaffolds.fa,Neossp4,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Neosartorya
Neosartorya sp. G150_14,G150-14,Neosartorya_sp._G150_14_G150-14.proteins.fa,Neosartorya_sp._G150_14_G150-14.scaffolds.fa,Neossp5,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Neosartorya
Onygenales sp. PD_10,PD_10,Onygenales_sp._PD_10_PD_10.proteins.fa,Onygenales_sp._PD_10_PD_10.scaffolds.fa,Onygsp,Fungi;Ascomycota;Eurotiomycetes;Onygenales
Onygenales sp. PD_12,PD_12,Onygenales_sp._PD_12_PD_12.proteins.fa,Onygenales_sp._PD_12_PD_12.scaffolds.fa,Onygsp2,Fungi;Ascomycota;Eurotiomycetes;Onygenales
Onygenales sp. PD_40,PD_40,Onygenales_sp._PD_40_PD_40.proteins.fa,Onygenales_sp._PD_40_PD_40.scaffolds.fa,Onygsp3,Fungi;Ascomycota;Eurotiomycetes;Onygenales
Ophidiomyces ophidiicola,CBS 122913,Ophidiomyces_ophidiicola_CBS_122913.proteins.fa,Ophidiomyces_ophidiicola_CBS_122913.scaffolds.fa,Ophiophi,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Onygenaceae;Ophidiomyces
Ophidiomyces ophidiicola,NWHC 24266-3,Ophidiomyces_ophidiicola_NWHC_24266-3.proteins.fa,Ophidiomyces_ophidiicola_NWHC_24266-3.scaffolds.fa,Ophioph2,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Onygenaceae;Ophidiomyces
Ophidiomyces ophidiicola,NWHC 24266-5,Ophidiomyces_ophidiicola_NWHC_24266-5.proteins.fa,Ophidiomyces_ophidiicola_NWHC_24266-5.scaffolds.fa,Ophioph3,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Onygenaceae;Ophidiomyces
Ophidiomyces ophidiicola,NWHC 24824-1,Ophidiomyces_ophidiicola_NWHC_24824-1.proteins.fa,Ophidiomyces_ophidiicola_NWHC_24824-1.scaffolds.fa,Ophioph4,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Onygenaceae;Ophidiomyces
Ophidiomyces ophidiicola,NWHC 26341-1,Ophidiomyces_ophidiicola_NWHC_26341-1.proteins.fa,Ophidiomyces_ophidiicola_NWHC_26341-1.scaffolds.fa,Ophioph5,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Onygenaceae;Ophidiomyces
Ophidiomyces ophidiicola,NWHC 44736-65,Ophidiomyces_ophidiicola_NWHC_44736-65.proteins.fa,Ophidiomyces_ophidiicola_NWHC_44736-65.scaffolds.fa,Ophioph6,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Onygenaceae;Ophidiomyces
Ophidiomyces ophidiicola,NWHC 44736-87,Ophidiomyces_ophidiicola_NWHC_44736-87.proteins.fa,Ophidiomyces_ophidiicola_NWHC_44736-87.scaffolds.fa,Ophioph7,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Onygenaceae;Ophidiomyces
Ophidiomyces ophidiicola,NWHC 44736-90,Ophidiomyces_ophidiicola_NWHC_44736-90.proteins.fa,Ophidiomyces_ophidiicola_NWHC_44736-90.scaffolds.fa,Ophioph8,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Onygenaceae;Ophidiomyces
Ophidiomyces ophidiicola,NWHC 44736-94,Ophidiomyces_ophidiicola_NWHC_44736-94.proteins.fa,Ophidiomyces_ophidiicola_NWHC_44736-94.scaffolds.fa,Ophioph9,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Onygenaceae;Ophidiomyces
Ophidiomyces ophidiicola,NWHC 44736-95,Ophidiomyces_ophidiicola_NWHC_44736-95.proteins.fa,Ophidiomyces_ophidiicola_NWHC_44736-95.scaffolds.fa,Ophiop10,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Onygenaceae;Ophidiomyces
Ophidiomyces ophidiicola,UAMH 10768,Ophidiomyces_ophidiicola_UAMH_10768.proteins.fa,Ophidiomyces_ophidiicola_UAMH_10768.scaffolds.fa,Ophiop11,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Onygenaceae;Ophidiomyces
Ophidiomyces ophidiicola,UAMH 11295,Ophidiomyces_ophidiicola_UAMH_11295.proteins.fa,Ophidiomyces_ophidiicola_UAMH_11295.scaffolds.fa,Ophiop12,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Onygenaceae;Ophidiomyces
Ophidiomyces ophidiicola,UAMH 6642,Ophidiomyces_ophidiicola_UAMH_6642.proteins.fa,Ophidiomyces_ophidiicola_UAMH_6642.scaffolds.fa,Ophiop13,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Onygenaceae;Ophidiomyces
Ophidiomyces ophidiicola,UAMH11863,Ophidiomyces_ophidiicola_UAMH11863.proteins.fa,Ophidiomyces_ophidiicola_UAMH11863.scaffolds.fa,Ophiop14,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Onygenaceae;Ophidiomyces
Paecilomyces dactylethromorphus,FRR 5262,Paecilomyces_dactylethromorphus_FRR_5262.proteins.fa,Paecilomyces_dactylethromorphus_FRR_5262.scaffolds.fa,Paecdact,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Thermoascaceae;Paecilomyces
Paecilomyces formosus,FRR 3793,Paecilomyces_formosus_FRR_3793.proteins.fa,Paecilomyces_formosus_FRR_3793.scaffolds.fa,Paecform,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Thermoascaceae;Paecilomyces
Paecilomyces fulvus,FRR 3794,Paecilomyces_fulvus_FRR_3794.proteins.fa,Paecilomyces_fulvus_FRR_3794.scaffolds.fa,Paecfulv,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Thermoascaceae;Paecilomyces
Paecilomyces lecythidis,FRR 4481,Paecilomyces_lecythidis_FRR_4481.proteins.fa,Paecilomyces_lecythidis_FRR_4481.scaffolds.fa,Paeclecy,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Thermoascaceae;Paecilomyces
Paecilomyces maximus,FRR 4742,Paecilomyces_maximus_FRR_4742.proteins.fa,Paecilomyces_maximus_FRR_4742.scaffolds.fa,Paecmaxi,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Thermoascaceae;Paecilomyces
Paecilomyces niveus,Cornell orchards no. 7,Paecilomyces_niveus_Cornell_orchards_no._7.proteins.fa,Paecilomyces_niveus_Cornell_orchards_no._7.scaffolds.fa,Paecnive,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Thermoascaceae;Paecilomyces
Paecilomyces paravariotii,FRR 5287,Paecilomyces_paravariotii_FRR_5287.proteins.fa,Paecilomyces_paravariotii_FRR_5287.scaffolds.fa,Paecpara,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Thermoascaceae;Paecilomyces
Paecilomyces sp. M2902,PL2405,Paecilomyces_sp._M2902_PL2405.proteins.fa,Paecilomyces_sp._M2902_PL2405.scaffolds.fa,Paecsp,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Thermoascaceae;Paecilomyces
Paecilomyces sp. MCCF 150,MCCF 150 Forward,Paecilomyces_sp._MCCF_150_MCCF_150_Forward.proteins.fa,Paecilomyces_sp._MCCF_150_MCCF_150_Forward.scaffolds.fa,Paecsp2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Thermoascaceae;Paecilomyces
Paecilomyces sp. PK2413,M2901,Paecilomyces_sp._PK2413_M2901.proteins.fa,Paecilomyces_sp._PK2413_M2901.scaffolds.fa,Paecsp3,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Thermoascaceae;Paecilomyces
Paecilomyces sp. PL2402,PL2402,Paecilomyces_sp._PL2402_PL2402.proteins.fa,Paecilomyces_sp._PL2402_PL2402.scaffolds.fa,Paecsp4,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Thermoascaceae;Paecilomyces
Paracladophialophora sp. BF16,BF16,Paracladophialophora_sp._BF16_BF16.proteins.fa,Paracladophialophora_sp._BF16_BF16.scaffolds.fa,Parasp,Fungi;Ascomycota;Eurotiomycetes;Paracladophialophora
Paracoccidioides lutzii,7730,Paracoccidioides_lutzii_7730.proteins.fa,Paracoccidioides_lutzii_7730.scaffolds.fa,Paralutz,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Ajellomycetaceae;Paracoccidioides
Paracoccidioides restrepoana,Pb-DRQ,Paracoccidioides_restrepoana_Pb-DRQ.proteins.fa,Paracoccidioides_restrepoana_Pb-DRQ.scaffolds.fa,Pararest,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Ajellomycetaceae;Paracoccidioides
Paracoccidioides sp. IMR-M-Pb 369,IMR-M-Pb 369,Paracoccidioides_sp._IMR-M-Pb_369_IMR-M-Pb_369.proteins.fa,Paracoccidioides_sp._IMR-M-Pb_369_IMR-M-Pb_369.scaffolds.fa,Parasp2,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Ajellomycetaceae;Paracoccidioides
Paracoccidioides venezuelensis,T2V2,Paracoccidioides_venezuelensis_T2V2.proteins.fa,Paracoccidioides_venezuelensis_T2V2.scaffolds.fa,Paravene,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Ajellomycetaceae;Paracoccidioides
Penicilliopsis zonata,CBS 506.65,Penicilliopsis_zonata_CBS_506.65.proteins.fa,Penicilliopsis_zonata_CBS_506.65.scaffolds.fa,Penizona,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicilliopsis
Penicillium adametzioides,FBCC-F1417,Penicillium_adametzioides_FBCC-F1417.proteins.fa,Penicillium_adametzioides_FBCC-F1417.scaffolds.fa,Peniadam,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium alfredii,IBT 34128,Penicillium_alfredii_IBT_34128.proteins.fa,Penicillium_alfredii_IBT_34128.scaffolds.fa,Penialfr,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium angulare,IBT 27051,Penicillium_angulare_IBT_27051.proteins.fa,Penicillium_angulare_IBT_27051.scaffolds.fa,Peniangu,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium angulare,IBT 30069,Penicillium_angulare_IBT_30069.proteins.fa,Penicillium_angulare_IBT_30069.scaffolds.fa,Peniang2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium antarcticum,IBT 31339,Penicillium_antarcticum_IBT_31339.proteins.fa,Penicillium_antarcticum_IBT_31339.scaffolds.fa,Penianta,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium argentinense,IBT 30761,Penicillium_argentinense_IBT_30761.proteins.fa,Penicillium_argentinense_IBT_30761.scaffolds.fa,Peniarge,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium arizonense,,Penicillium_arizonense.proteins.fa,Penicillium_arizonense.scaffolds.fa,Peniariz,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium arizonense,CBS 141311,Penicillium_arizonense_CBS_141311.proteins.fa,Penicillium_arizonense_CBS_141311.scaffolds.fa,Peniari2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium aurantiogriseum,IBT 35659,Penicillium_aurantiogriseum_IBT_35659.proteins.fa,Penicillium_aurantiogriseum_IBT_35659.scaffolds.fa,Peniaura,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium bialowiezense,A30,Penicillium_bialowiezense_A30.proteins.fa,Penicillium_bialowiezense_A30.scaffolds.fa,Penibial,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium bialowiezense,CAS30,Penicillium_bialowiezense_CAS30.proteins.fa,Penicillium_bialowiezense_CAS30.scaffolds.fa,Penibia2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium biforme,FM169,Penicillium_biforme_FM169.proteins.fa,Penicillium_biforme_FM169.scaffolds.fa,Penibifo,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium bovifimosum,IBT 22155,Penicillium_bovifimosum_IBT_22155.proteins.fa,Penicillium_bovifimosum_IBT_22155.scaffolds.fa,Penibovi,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium brefeldianum,BPSRJ7,Penicillium_brefeldianum_BPSRJ7.proteins.fa,Penicillium_brefeldianum_BPSRJ7.scaffolds.fa,Penibref,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium brefeldianum,F015,Penicillium_brefeldianum_F015.proteins.fa,Penicillium_brefeldianum_F015.scaffolds.fa,Penibre2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium brefeldianum,F032,Penicillium_brefeldianum_F032.proteins.fa,Penicillium_brefeldianum_F032.scaffolds.fa,Penibre3,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium camemberti,AOP11_C1_surf_bin_9,Penicillium_camemberti_AOP11_C1_surf_bin_9.proteins.fa,Penicillium_camemberti_AOP11_C1_surf_bin_9.scaffolds.fa,Penicame,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium camemberti,AOP15_D2_surf_bin_2,Penicillium_camemberti_AOP15_D2_surf_bin_2.proteins.fa,Penicillium_camemberti_AOP15_D2_surf_bin_2.scaffolds.fa,Penicam2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium camemberti,AOP22_C1_surf_bin_7,Penicillium_camemberti_AOP22_C1_surf_bin_7.proteins.fa,Penicillium_camemberti_AOP22_C1_surf_bin_7.scaffolds.fa,Penicam3,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium camemberti,AOP22_E1_surf_bin_12,Penicillium_camemberti_AOP22_E1_surf_bin_12.proteins.fa,Penicillium_camemberti_AOP22_E1_surf_bin_12.scaffolds.fa,Penicam4,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium camemberti,AOP23_C1_surf_bin_6,Penicillium_camemberti_AOP23_C1_surf_bin_6.proteins.fa,Penicillium_camemberti_AOP23_C1_surf_bin_6.scaffolds.fa,Penicam5,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium camemberti,AOP23_I1_surf_bin_8,Penicillium_camemberti_AOP23_I1_surf_bin_8.proteins.fa,Penicillium_camemberti_AOP23_I1_surf_bin_8.scaffolds.fa,Penicam6,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium camemberti,AOP25_D2_surf_bin_1,Penicillium_camemberti_AOP25_D2_surf_bin_1.proteins.fa,Penicillium_camemberti_AOP25_D2_surf_bin_1.scaffolds.fa,Penicam7,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium camemberti,AOP6_C1_surf_bin_15,Penicillium_camemberti_AOP6_C1_surf_bin_15.proteins.fa,Penicillium_camemberti_AOP6_C1_surf_bin_15.scaffolds.fa,Penicam8,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium camemberti,F3_3F1_F,Penicillium_camemberti_F3_3F1_F.proteins.fa,Penicillium_camemberti_F3_3F1_F.scaffolds.fa,Penicam9,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium camemberti,FM 013,Penicillium_camemberti_FM_013.proteins.fa,Penicillium_camemberti_FM_013.scaffolds.fa,Penica10,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium camemberti,IF2SW-F1,Penicillium_camemberti_IF2SW-F1.proteins.fa,Penicillium_camemberti_IF2SW-F1.scaffolds.fa,Penica11,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium camemberti,IIF8SW-F2,Penicillium_camemberti_IIF8SW-F2.proteins.fa,Penicillium_camemberti_IIF8SW-F2.scaffolds.fa,Penica12,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium camemberti,IIF8SW-F3,Penicillium_camemberti_IIF8SW-F3.proteins.fa,Penicillium_camemberti_IIF8SW-F3.scaffolds.fa,Penica13,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium camemberti,IMV00769,Penicillium_camemberti_IMV00769.proteins.fa,Penicillium_camemberti_IMV00769.scaffolds.fa,Penica14,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium canariense,IBT 26290,Penicillium_canariense_IBT_26290.proteins.fa,Penicillium_canariense_IBT_26290.scaffolds.fa,Penicana,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium capsulatum,ATCC 48735,Penicillium_capsulatum_ATCC_48735.proteins.fa,Penicillium_capsulatum_ATCC_48735.scaffolds.fa,Penicaps,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium capsulatum,IBT 21917,Penicillium_capsulatum_IBT_21917.proteins.fa,Penicillium_capsulatum_IBT_21917.scaffolds.fa,Penicap2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium capsulatum,IBT 29712,Penicillium_capsulatum_IBT_29712.proteins.fa,Penicillium_capsulatum_IBT_29712.scaffolds.fa,Penicap3,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium capsulatum,LiaoWQ-2011,Penicillium_capsulatum_LiaoWQ-2011.proteins.fa,Penicillium_capsulatum_LiaoWQ-2011.scaffolds.fa,Penicap4,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium carneum,LCP05634,Penicillium_carneum_LCP05634.proteins.fa,Penicillium_carneum_LCP05634.scaffolds.fa,Penicarn,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium caseifulvum,ESE00019,Penicillium_caseifulvum_ESE00019.proteins.fa,Penicillium_caseifulvum_ESE00019.scaffolds.fa,Penicase,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium caseifulvum,FJII-L4-SW-DR1,Penicillium_caseifulvum_FJII-L4-SW-DR1.proteins.fa,Penicillium_caseifulvum_FJII-L4-SW-DR1.scaffolds.fa,Penicas2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium caseifulvum,FKI-L3-CM-P1,Penicillium_caseifulvum_FKI-L3-CM-P1.proteins.fa,Penicillium_caseifulvum_FKI-L3-CM-P1.scaffolds.fa,Penicas3,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium cataractarum,IBT 29864,Penicillium_cataractarum_IBT_29864.proteins.fa,Penicillium_cataractarum_IBT_29864.scaffolds.fa,Penicata,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium cf. chrysogenum,S-N-302-OC-P1,Penicillium_cf._chrysogenum_S-N-302-OC-P1.proteins.fa,Penicillium_cf._chrysogenum_S-N-302-OC-P1.scaffolds.fa,Penicf,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium cf. chrysogenum,S-N-302-OC-R1,Penicillium_cf._chrysogenum_S-N-302-OC-R1.proteins.fa,Penicillium_cf._chrysogenum_S-N-302-OC-R1.scaffolds.fa,Penicf2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium cf. chrysogenum,S-N-302-OC-R3,Penicillium_cf._chrysogenum_S-N-302-OC-R3.proteins.fa,Penicillium_cf._chrysogenum_S-N-302-OC-R3.scaffolds.fa,Penicf3,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium cf. chrysogenum,S-N-308-OC-P1,Penicillium_cf._chrysogenum_S-N-308-OC-P1.proteins.fa,Penicillium_cf._chrysogenum_S-N-308-OC-P1.scaffolds.fa,Penicf4,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium cf. chrysogenum,S-N-308-OC-R5,Penicillium_cf._chrysogenum_S-N-308-OC-R5.proteins.fa,Penicillium_cf._chrysogenum_S-N-308-OC-R5.scaffolds.fa,Penicf5,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium cf. griseofulvum,IBT 16848,Penicillium_cf._griseofulvum_IBT_16848.proteins.fa,Penicillium_cf._griseofulvum_IBT_16848.scaffolds.fa,Penicf6,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium cf. griseofulvum,IBT 16849,Penicillium_cf._griseofulvum_IBT_16849.proteins.fa,Penicillium_cf._griseofulvum_IBT_16849.scaffolds.fa,Penicf7,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium cf. griseofulvum,IBT 17755,Penicillium_cf._griseofulvum_IBT_17755.proteins.fa,Penicillium_cf._griseofulvum_IBT_17755.scaffolds.fa,Penicf8,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium cf. viridicatum,IBT 20477,Penicillium_cf._viridicatum_IBT_20477.proteins.fa,Penicillium_cf._viridicatum_IBT_20477.scaffolds.fa,Penicf9,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium chermesinum,IBT 19713,Penicillium_chermesinum_IBT_19713.proteins.fa,Penicillium_chermesinum_IBT_19713.scaffolds.fa,Penicher,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium chermesinum,IBT 22717,Penicillium_chermesinum_IBT_22717.proteins.fa,Penicillium_chermesinum_IBT_22717.scaffolds.fa,Peniche2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium chrysogenum,IBT 35668,Penicillium_chrysogenum_IBT_35668.proteins.fa,Penicillium_chrysogenum_IBT_35668.scaffolds.fa,Penichry,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
